SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1003GS2019, GS, 18-Jul-2019, 62.12, 62.12, 62.12, 59.02, 59.02, 59.02, 60.57, 2, 0.00, 2, 1, 50.00
20MICRONS, EQ, 18-Jul-2019, 35.95, 35.40, 36.30, 35.40, 36.30, 36.00, 35.86, 4979, 1.79, 87, 3559, 71.48
21STCENMGM, EQ, 18-Jul-2019, 16.85, 17.15, 17.15, 16.55, 16.55, 16.55, 16.83, 615, 0.10, 24, 529, 86.02
3IINFOTECH, EQ, 18-Jul-2019, 2.70, 2.75, 2.75, 2.55, 2.60, 2.60, 2.63, 2823745, 74.33, 1050, 1497778, 53.04
3MINDIA, EQ, 18-Jul-2019, 22258.70, 22258.00, 22336.20, 21905.55, 21910.00, 21915.85, 22031.68, 651, 143.43, 271, 496, 76.19
3PLAND, EQ, 18-Jul-2019, 7.90, 7.90, 8.15, 7.55, 7.55, 7.95, 8.09, 75, 0.01, 9, 67, 89.33
5PAISA, EQ, 18-Jul-2019, 229.60, 218.15, 218.15, 218.15, 218.15, 218.15, 218.15, 1286, 2.81, 65, 1286, 100.00
63MOONS, EQ, 18-Jul-2019, 103.25, 102.95, 105.05, 99.25, 99.25, 100.00, 101.36, 69480, 70.42, 1290, 40579, 58.40
727GS2026, GS, 18-Jul-2019, 100.00, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 600, 0.59, 2, 600, 100.00
74GS2035, GS, 18-Jul-2019, 99.50, 99.50, 99.50, 99.50, 99.50, 99.50, 99.50, 100, 0.10, 1, 100, 100.00
772GS2055, GS, 18-Jul-2019, 101.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100, 0.10, 1, 100, 100.00
8KMILES, EQ, 18-Jul-2019, 85.80, 81.55, 81.55, 81.55, 81.55, 81.55, 81.55, 16757, 13.67, 287, 16757, 100.00
A2ZINFRA, EQ, 18-Jul-2019, 10.10, 10.35, 10.60, 9.90, 10.20, 10.00, 10.12, 682570, 69.10, 921, 458608, 67.19
AAKASH, SM, 18-Jul-2019, 22.00, 21.00, 21.00, 21.00, 21.00, 21.00, 21.00, 2000, 0.42, 1, 2000, 100.00
AARON, SM, 18-Jul-2019, 48.35, 47.50, 48.50, 45.10, 48.50, 48.50, 47.03, 9000, 4.23, 3, 9000, 100.00
AARTIDRUGS, EQ, 18-Jul-2019, 502.05, 503.00, 505.00, 495.00, 495.50, 496.20, 497.57, 4464, 22.21, 438, 2907, 65.12
AARTIIND, EQ, 18-Jul-2019, 1682.60, 1682.60, 1696.50, 1663.25, 1680.00, 1679.20, 1682.28, 13480, 226.77, 1681, 10375, 76.97
AARVEEDEN, EQ, 18-Jul-2019, 18.10, 18.05, 18.80, 16.50, 17.45, 17.35, 17.41, 7144, 1.24, 150, 3963, 55.47
AAVAS, EQ, 18-Jul-2019, 1511.00, 1523.00, 1523.00, 1485.00, 1490.00, 1491.60, 1510.59, 20866, 315.20, 1345, 17500, 83.87
ABAN, EQ, 18-Jul-2019, 35.85, 35.15, 36.05, 34.95, 35.90, 35.25, 35.17, 43506, 15.30, 530, 17884, 41.11
ABB, EQ, 18-Jul-2019, 1489.10, 1493.00, 1500.00, 1445.00, 1448.50, 1454.10, 1469.00, 63333, 930.36, 5754, 24842, 39.22
ABBOTINDIA, EQ, 18-Jul-2019, 8696.15, 8670.10, 8798.00, 8522.75, 8550.00, 8552.20, 8606.84, 3954, 340.31, 712, 3232, 81.74
ABCAPITAL, EQ, 18-Jul-2019, 90.40, 90.25, 90.30, 89.00, 89.10, 89.05, 89.50, 870912, 779.49, 8949, 507556, 58.28
ABFRL, EQ, 18-Jul-2019, 203.20, 203.90, 204.60, 202.80, 203.25, 203.05, 203.26, 288176, 585.76, 2522, 228265, 79.21
ABINFRA, ST, 18-Jul-2019, 26.15, 24.85, 24.85, 24.85, 24.85, 24.85, 24.85, 156000, 38.77, 31, 156000, 100.00
ABMINTLTD, BE, 18-Jul-2019, 14.00, 14.00, 14.00, 14.00, 14.00, 14.00, 14.00, 58, 0.01, 3, -, -
ACC, EQ, 18-Jul-2019, 1594.35, 1604.00, 1609.20, 1560.15, 1571.95, 1567.10, 1584.11, 1475891, 23379.79, 69566, 395406, 26.79
ACCELYA, EQ, 18-Jul-2019, 826.75, 825.00, 835.00, 820.00, 820.50, 820.65, 825.71, 2025, 16.72, 198, 1121, 55.36
ACCURACY, SM, 18-Jul-2019, 40.00, 40.00, 40.00, 40.00, 40.00, 40.00, 40.00, 1600, 0.64, 1, 1600, 100.00
ACE, EQ, 18-Jul-2019, 82.85, 83.50, 83.80, 82.25, 82.25, 82.80, 82.81, 29906, 24.77, 734, 19863, 66.42
ADANIENT, EQ, 18-Jul-2019, 138.05, 137.70, 137.95, 133.35, 134.15, 134.20, 135.42, 4247055, 5751.52, 23921, 685707, 16.15
ADANIGAS, EQ, 18-Jul-2019, 175.50, 174.85, 174.85, 169.00, 169.95, 169.95, 171.01, 499924, 854.92, 6852, 259809, 51.97
ADANIGREEN, EQ, 18-Jul-2019, 48.45, 48.30, 49.75, 46.95, 47.70, 47.50, 48.35, 938262, 453.69, 3973, 299863, 31.96
ADANIPORTS, EQ, 18-Jul-2019, 417.05, 416.70, 419.30, 410.75, 413.60, 412.40, 415.04, 1300071, 5395.86, 33677, 313479, 24.11
ADANIPOWER, EQ, 18-Jul-2019, 63.40, 63.95, 65.90, 61.45, 62.55, 62.70, 63.75, 27403170, 17469.96, 60106, 3867649, 14.11
ADANITRANS, EQ, 18-Jul-2019, 221.80, 222.80, 223.30, 211.00, 216.75, 214.00, 217.86, 98049, 213.61, 4712, 45644, 46.55
ADFFOODS, EQ, 18-Jul-2019, 275.20, 273.05, 275.85, 271.00, 274.50, 273.60, 273.17, 15944, 43.55, 608, 9052, 56.77
ADHUNIK, EQ, 18-Jul-2019, 1.20, 1.15, 1.25, 1.15, 1.15, 1.15, 1.15, 104767, 1.21, 38, 98122, 93.66
ADHUNIKIND, EQ, 18-Jul-2019, 85.05, 85.00, 86.95, 84.65, 86.95, 86.05, 86.03, 7768, 6.68, 49, 4977, 64.07
ADLABS, EQ, 18-Jul-2019, 4.65, 4.70, 4.70, 4.50, 4.50, 4.55, 4.58, 38730, 1.77, 86, 28200, 72.81
ADORWELD, EQ, 18-Jul-2019, 329.20, 326.05, 326.95, 315.60, 320.00, 320.25, 322.01, 1914, 6.16, 234, 1337, 69.85
ADROITINFO, EQ, 18-Jul-2019, 9.15, 8.70, 9.40, 8.70, 8.75, 9.00, 8.90, 6345, 0.56, 32, 3700, 58.31
ADSL, EQ, 18-Jul-2019, 13.60, 13.50, 13.60, 13.20, 13.25, 13.30, 13.32, 6379, 0.85, 36, 5424, 85.03
ADVANIHOTR, EQ, 18-Jul-2019, 57.10, 57.70, 57.75, 56.05, 56.05, 56.15, 56.44, 983, 0.55, 36, 721, 73.35
ADVENZYMES, EQ, 18-Jul-2019, 161.40, 159.10, 162.95, 159.10, 161.00, 160.95, 160.87, 44485, 71.56, 1265, 29540, 66.40
AEGISCHEM, EQ, 18-Jul-2019, 206.20, 206.20, 210.95, 204.00, 204.30, 205.00, 206.94, 72338, 149.70, 4236, 39719, 54.91
AGARIND, EQ, 18-Jul-2019, 121.90, 118.95, 123.00, 117.55, 118.00, 118.15, 120.44, 15405, 18.55, 116, 8033, 52.15
AGCNET, EQ, 18-Jul-2019, 108.90, 109.80, 109.85, 104.10, 105.00, 105.00, 105.90, 2926, 3.10, 23, 2222, 75.94
AGLSL, EQ, 18-Jul-2019, 51.40, 49.10, 53.00, 49.10, 51.00, 51.20, 51.10, 848, 0.43, 36, 707, 83.37
AGRITECH, EQ, 18-Jul-2019, 53.75, 53.10, 53.70, 51.20, 51.25, 51.75, 52.42, 7942, 4.16, 244, 4651, 58.56
AGROPHOS, BE, 18-Jul-2019, 93.90, 90.10, 94.25, 90.10, 93.75, 93.70, 93.69, 15565, 14.58, 29, -, -
AHLADA, SM, 18-Jul-2019, 70.00, 65.00, 65.00, 65.00, 65.00, 65.00, 65.00, 1000, 0.65, 1, 1000, 100.00
