SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 25-Jun-2019, 35.85, 35.80, 36.70, 35.00, 36.00, 36.20, 36.28, 16948, 6.15, 180, 9363, 55.25
21STCENMGM, EQ, 25-Jun-2019, 18.25, 18.25, 18.55, 17.90, 17.90, 17.90, 18.10, 3072, 0.56, 24, 3071, 99.97
3IINFOTECH, EQ, 25-Jun-2019, 3.20, 3.25, 3.40, 3.20, 3.35, 3.30, 3.27, 1416936, 46.29, 486, 883284, 62.34
3MINDIA, EQ, 25-Jun-2019, 23779.10, 23511.05, 23894.70, 22700.00, 23150.05, 23183.90, 23217.27, 1707, 396.32, 863, 786, 46.05
5PAISA, EQ, 25-Jun-2019, 203.40, 200.05, 207.90, 193.50, 201.00, 201.70, 202.21, 1721, 3.48, 278, 633, 36.78
63MOONS, EQ, 25-Jun-2019, 115.70, 117.00, 117.00, 111.15, 112.20, 112.55, 114.05, 65760, 75.00, 1221, 35694, 54.28
8KMILES, EQ, 25-Jun-2019, 80.65, 84.65, 84.65, 84.65, 84.65, 84.65, 84.65, 22432, 18.99, 129, 22432, 100.00
A2ZINFRA, EQ, 25-Jun-2019, 13.35, 13.45, 13.75, 12.85, 13.00, 13.00, 13.23, 250435, 33.14, 851, 194971, 77.85
AARON, SM, 25-Jun-2019, 47.10, 44.30, 44.30, 44.30, 44.30, 44.30, 44.30, 3000, 1.33, 1, 3000, 100.00
AARTIDRUGS, EQ, 25-Jun-2019, 530.00, 534.30, 534.30, 520.05, 530.00, 529.95, 527.03, 6312, 33.27, 1098, 2171, 34.39
AARTIIND, EQ, 25-Jun-2019, 1803.20, 1818.00, 1828.25, 1785.10, 1801.00, 1796.70, 1810.89, 81425, 1474.51, 7993, 51359, 63.08
AARVEEDEN, EQ, 25-Jun-2019, 21.50, 21.45, 21.85, 20.60, 21.50, 21.35, 21.29, 1081, 0.23, 52, 938, 86.77
AAVAS, EQ, 25-Jun-2019, 1473.25, 1473.00, 1520.00, 1473.00, 1495.00, 1491.75, 1500.00, 127781, 1916.72, 3688, 117719, 92.13
ABAN, EQ, 25-Jun-2019, 37.00, 37.50, 37.90, 36.00, 36.05, 36.20, 36.49, 61021, 22.26, 823, 37617, 61.65
ABB, EQ, 25-Jun-2019, 1560.90, 1564.00, 1568.00, 1540.90, 1553.70, 1559.05, 1554.12, 27457, 426.72, 3080, 4964, 18.08
ABBOTINDIA, EQ, 25-Jun-2019, 8541.85, 8600.00, 8600.00, 8500.00, 8550.00, 8557.75, 8548.47, 2575, 220.12, 474, 1535, 59.61
ABCAPITAL, EQ, 25-Jun-2019, 92.15, 92.00, 92.80, 91.35, 91.95, 92.05, 92.12, 500352, 460.94, 6189, 221095, 44.19
ABFRL, EQ, 25-Jun-2019, 207.70, 207.70, 215.60, 199.85, 213.70, 212.65, 206.32, 776725, 1602.51, 6883, 492924, 63.46
ABMINTLTD, BE, 25-Jun-2019, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 100, 0.01, 1, -, -
ABSLNN50ET, EQ, 25-Jun-2019, 268.05, 269.77, 269.77, 267.70, 267.70, 267.70, 267.89, 11, 0.03, 3, 10, 90.91
ACC, EQ, 25-Jun-2019, 1537.60, 1536.00, 1561.90, 1526.35, 1553.00, 1554.55, 1545.34, 475097, 7341.89, 20550, 114441, 24.09
ACCELYA, EQ, 25-Jun-2019, 876.20, 875.00, 885.00, 862.00, 885.00, 871.60, 869.37, 1012, 8.80, 264, 530, 52.37
ACCORD, SM, 25-Jun-2019, 27.00, 25.50, 25.50, 25.50, 25.50, 25.50, 25.50, 2000, 0.51, 1, 2000, 100.00
ACE, EQ, 25-Jun-2019, 93.95, 92.00, 95.25, 92.00, 94.50, 94.55, 94.25, 55130, 51.96, 742, 28235, 51.22
ADANIENT, EQ, 25-Jun-2019, 147.75, 146.50, 151.95, 144.85, 149.50, 150.85, 148.36, 4920288, 7299.64, 20915, 701313, 14.25
ADANIGAS, EQ, 25-Jun-2019, 158.70, 159.35, 166.25, 155.90, 161.80, 162.20, 161.61, 826013, 1334.94, 9355, 214757, 26.00
ADANIGREEN, EQ, 25-Jun-2019, 41.15, 40.75, 41.95, 40.75, 41.30, 41.35, 41.34, 420526, 173.83, 2235, 153040, 36.39
ADANIPORTS, EQ, 25-Jun-2019, 406.00, 404.00, 407.20, 402.65, 405.00, 405.65, 405.10, 2099347, 8504.51, 47304, 905615, 43.14
ADANIPOWER, EQ, 25-Jun-2019, 50.15, 50.30, 50.90, 48.90, 50.65, 50.55, 49.97, 14732369, 7362.25, 21873, 2172872, 14.75
ADANITRANS, EQ, 25-Jun-2019, 224.85, 224.85, 227.95, 217.95, 222.35, 222.00, 222.68, 117206, 261.00, 4143, 46136, 39.36
ADFFOODS, EQ, 25-Jun-2019, 274.80, 272.05, 277.50, 271.10, 273.00, 272.25, 272.75, 12461, 33.99, 463, 7119, 57.13
ADHUNIK, EQ, 25-Jun-2019, 1.35, 1.40, 1.40, 1.30, 1.35, 1.35, 1.33, 43166, 0.58, 64, 32411, 75.08
ADHUNIKIND, EQ, 25-Jun-2019, 77.50, 77.90, 80.90, 77.50, 78.45, 78.20, 78.58, 85360, 67.07, 218, 61961, 72.59
ADLABS, EQ, 25-Jun-2019, 4.80, 5.25, 5.25, 5.05, 5.25, 5.25, 5.23, 70637, 3.70, 131, 67080, 94.96
ADORWELD, EQ, 25-Jun-2019, 338.10, 334.05, 339.80, 334.05, 339.80, 338.10, 338.07, 1268, 4.29, 53, 1111, 87.62
ADROITINFO, EQ, 25-Jun-2019, 10.25, 10.20, 10.75, 9.75, 10.60, 10.25, 10.47, 1475, 0.15, 9, 1020, 69.15
ADSL, EQ, 25-Jun-2019, 14.95, 15.35, 15.40, 14.60, 14.85, 14.75, 15.07, 16970, 2.56, 80, 7276, 42.88
ADVANIHOTR, EQ, 25-Jun-2019, 58.50, 58.05, 59.00, 56.15, 58.45, 58.55, 58.37, 8037, 4.69, 65, 7203, 89.62
ADVENZYMES, EQ, 25-Jun-2019, 167.65, 167.65, 169.35, 165.45, 166.20, 166.95, 168.12, 73993, 124.39, 1176, 53010, 71.64
AEGISCHEM, EQ, 25-Jun-2019, 201.55, 200.50, 205.45, 198.85, 202.10, 202.60, 202.65, 54440, 110.32, 2587, 26089, 47.92
AGARIND, EQ, 25-Jun-2019, 121.50, 123.00, 132.40, 112.30, 117.25, 123.75, 124.82, 15453, 19.29, 401, 8096, 52.39
AGCNET, EQ, 25-Jun-2019, 109.55, 110.05, 111.25, 110.00, 110.00, 110.00, 110.04, 277, 0.30, 17, 219, 79.06
AGLSL, EQ, 25-Jun-2019, 57.00, 55.00, 58.05, 53.90, 55.00, 54.80, 54.76, 21107, 11.56, 129, 20091, 95.19
AGRITECH, EQ, 25-Jun-2019, 50.20, 50.05, 50.90, 49.55, 49.55, 49.65, 50.06, 3371, 1.69, 65, 2540, 75.35
AGROPHOS, BE, 25-Jun-2019, 82.75, 86.25, 86.25, 78.65, 86.10, 85.65, 85.14, 54686, 46.56, 31, -, -
AHLEAST, EQ, 25-Jun-2019, 189.95, 180.50, 189.00, 180.50, 183.55, 185.05, 181.29, 11075, 20.08, 139, 10370, 93.63
AHLUCONT, EQ, 25-Jun-2019, 330.00, 328.65, 331.00, 328.65, 330.50, 330.50, 330.01, 53897, 177.86, 249, 53754, 99.73
AHLWEST, EQ, 25-Jun-2019, 336.50, 336.50, 347.00, 336.50, 336.50, 346.05, 345.31, 867, 2.99, 15, 761, 87.77
AIAENG, EQ, 25-Jun-2019, 1748.55, 1741.50, 1767.00, 1736.05, 1750.00, 1747.10, 1755.20, 30608, 537.23, 2929, 21056, 68.79
AIFL, BZ, 25-Jun-2019, 3.05, 2.90, 2.90, 2.90, 2.90, 2.90, 2.90, 2340, 0.07, 16, -, -
AIONJSW, EQ, 25-Jun-2019, 16.90, 16.85, 17.40, 16.30, 16.70, 16.90, 16.86, 8772, 1.48, 146, 6418, 73.16
AIRAN, EQ, 25-Jun-2019, 27.50, 27.55, 29.95, 26.65, 27.45, 27.40, 27.29, 6533, 1.78, 31, 5006, 76.63
AISL, SM, 25-Jun-2019, 37.80, 38.45, 40.55, 37.00, 40.55, 40.55, 38.67, 9600, 3.71, 8, 6000, 62.50
AJANTPHARM, EQ, 25-Jun-2019, 956.60, 950.10, 977.70, 936.40, 973.80, 974.35, 957.57, 350276, 3354.15, 10288, 56891, 16.24
AJMERA, EQ, 25-Jun-2019, 158.15, 156.70, 162.80, 154.50, 161.80, 160.70, 159.37, 55652, 88.69, 1525, 11504, 20.67
AJOONI, SM, 25-Jun-2019, 14.40, 15.10, 15.10, 15.10, 15.10, 15.10, 15.10, 4000, 0.60, 1, 4000, 100.00
AKASH, SM, 25-Jun-2019, 56.00, 57.50, 58.80, 57.50, 58.80, 58.80, 58.15, 4000, 2.33, 2, 4000, 100.00
AKSHARCHEM, EQ, 25-Jun-2019, 264.80, 269.95, 277.65, 262.10, 272.00, 268.15, 268.17, 2340, 6.28, 300, 1197, 51.15
AKSHOPTFBR, EQ, 25-Jun-2019, 10.80, 11.05, 11.60, 10.85, 10.90, 10.95, 11.08, 260313, 28.85, 851, 149522, 57.44
AKZOINDIA, EQ, 25-Jun-2019, 1727.75, 1725.05, 1754.00, 1701.70, 1750.00, 1749.30, 1736.74, 8183, 142.12, 1058, 6089, 74.41
ALANKIT, EQ, 25-Jun-2019, 30.00, 29.95, 30.35, 29.30, 29.30, 29.65, 29.90, 447538, 133.82, 2450, 108965, 24.35
ALBERTDAVD, EQ, 25-Jun-2019, 397.00, 391.60, 403.00, 391.60, 397.45, 397.45, 396.63, 2369, 9.40, 92, 1594, 67.29
ALBK, EQ, 25-Jun-2019, 40.80, 40.75, 42.85, 40.60, 42.35, 42.45, 41.89, 4202469, 1760.49, 9258, 837765, 19.94
ALCHEM, BE, 25-Jun-2019, 1.20, 1.15, 1.20, 1.15, 1.20, 1.20, 1.17, 448, 0.01, 7, -, -
ALEMBICLTD, EQ, 25-Jun-2019, 41.85, 41.70, 42.75, 41.20, 42.50, 42.50, 42.09, 202354, 85.17, 942, 152182, 75.21
ALICON, EQ, 25-Jun-2019, 561.05, 560.00, 564.00, 554.20, 555.05, 555.10, 559.55, 1042, 5.83, 39, 957, 91.84
ALKALI, EQ, 25-Jun-2019, 39.45, 39.95, 45.30, 39.90, 42.75, 42.40, 42.33, 23555, 9.97, 433, 9478, 40.24
ALKEM, EQ, 25-Jun-2019, 1715.75, 1708.90, 1735.15, 1686.00, 1695.00, 1697.40, 1703.60, 28254, 481.33, 6740, 17026, 60.26
ALKYLAMINE, EQ, 25-Jun-2019, 803.65, 809.00, 819.95, 803.00, 804.05, 805.45, 808.13, 3611, 29.18, 180, 2814, 77.93
ALLCARGO, EQ, 25-Jun-2019, 102.10, 103.00, 103.00, 100.45, 101.50, 101.70, 101.22, 49192, 49.79, 1050, 32656, 66.38
ALLSEC, EQ, 25-Jun-2019, 316.30, 318.95, 318.95, 315.05, 316.10, 316.10, 315.77, 14307, 45.18, 45, 14283, 99.83
ALMONDZ, EQ, 25-Jun-2019, 16.55, 17.00, 17.80, 16.60, 17.25, 17.25, 17.27, 1618, 0.28, 38, 792, 48.95
ALOKTEXT, EQ, 25-Jun-2019, 3.55, 3.65, 3.65, 3.45, 3.55, 3.50, 3.51, 2821192, 98.89, 1030, 1934962, 68.59
ALPA, EQ, 25-Jun-2019, 18.15, 18.10, 18.10, 17.40, 17.80, 17.75, 17.66, 13804, 2.44, 108, 8890, 64.40
ALPHAGEO, EQ, 25-Jun-2019, 431.60, 433.05, 434.00, 421.65, 425.90, 426.25, 429.32, 1621, 6.96, 182, 744, 45.90
ALPSINDUS, BE, 25-Jun-2019, 0.70, 0.70, 0.75, 0.65, 0.75, 0.75, 0.71, 40014, 0.28, 13, -, -
AMARAJABAT, EQ, 25-Jun-2019, 601.60, 595.00, 624.00, 595.00, 614.60, 614.75, 612.40, 873777, 5350.97, 13277, 349302, 39.98
AMBER, EQ, 25-Jun-2019, 818.95, 824.00, 831.25, 811.35, 826.00, 829.50, 825.02, 6270, 51.73, 602, 4387, 69.97
